Tube Number,Metal Tag,Target,Metal,channel,full,ilastik
,In113,HH3,113,1,1,1
,In115,SMA,115,2,1,0
,Pr141,VISTA,141,3,1,0
,Nd142,gp100,142,4,1,1
,Nd143,HLA-DR,143,5,1,1
,Nd144,S100,144,6,1,0
,Nd145,HLA-ABC,145,7,1,0
,Nd146,CTLA4,146,8,1,0
,Sm147,PD-1,147,9,1,0
,Nd148,CD20,148,10,1,0
,Sm149,CD11b,149,11,1,0
,Nd150,CD68,150,12,1,0
,Eu151,Glut1,151,13,1,1
,Sm152,TIM3,152,14,1,0
,Eu153,CD11c,153,15,1,0
,Sm154,PDL1,154,16,1,0
,Gd155,CD28,155,17,1,0
,Gd158,CD86,158,18,1,0
,Tb159,FoxP3,159,19,1,0
,Gd160,PDL2,160,20,1,0
,Dy161,CD3,161,21,1,1
,Dy162,CD45RA,162,22,1,1
,Dy163,SOX10,163,23,1,0
,Dy164,TRP1,164,24,1,0
,Ho165,ki-67,165,25,1,0
,Er166,SOX9,167,26,1,0
,Er167,CD7,168,27,1,0
,Er168,LAG3,169,28,1,0
,Tm169,Axl,170,29,1,0
,Er170,CD4,171,30,1,1
,Yb171,B7-H4,172,31,1,0
,Yb172,CD31,174,32,1,0
,Yb173,CD14,175,33,1,0
,Yb174,MelanA,176,34,1,0
,Lu175,CD206,191,35,1,0
,Yb176,CD8a,193,36,1,0
,Pt195,caveoli,194,37,1,0
,Bi209,CD15,209,38,1,0
,Y89,MPO,89,39,1,0
